ticker,marketCap,sector,trailingPE,forwardPE,beta,price,returnOnEquity,grossMargins,debtToEquity,pe_rank,fpe_rank,roe_rank,gm_rank,debt_rank,dataroma_buy,value_score,quality_score,composite,final_score,weight,weight_%
ADBE,137506553856,Technology,20.221771,15.773967,1.536,324.155,0.52875,0.89138,56.542,0.2,0.1,0.3,0.15,0.47368421052631576,0,0.16,0.2573684210526316,0.1878157894736842,1.0,0.045112781954887216,4.5%
HD,340705902592,Consumer Cyclical,23.253057,21.941345,1.046,342.285,1.9395399,0.33348,580.591,0.3,0.4,0.05,0.8,1.0,0,0.34,0.44500000000000006,0.35325000000000006,0.95,0.052631578947368425,5.3%
META,1502209245184,Communication Services,26.394596,23.556917,1.272,595.99,0.32643002,0.82013,26.311,0.4,0.45,0.55,0.2,0.3157894736842105,0,0.42000000000000004,0.3865789473684211,0.3629605263157895,0.9,0.052631578947368425,5.3%
MA,476323872768,Financial Services,33.732395,32.167282,0.868,526.9,1.8486099,1.0,239.715,0.7,0.75,0.1,0.05,0.8421052631578947,0,0.72,0.15421052631578946,0.39339473684210524,0.85,0.052631578947368425,5.3%
V,621819592704,Financial Services,31.408823,25.305687,0.82,320.37,0.52068,0.97765,68.807,0.6,0.6,0.35,0.1,0.631578947368421,0,0.6,0.2781578947368421,0.395171052631579,0.8,0.052631578947368425,5.3%
KO,306055282688,Consumer Defensive,23.548012,23.944443,0.398,71.115,0.42442,0.61632997,144.771,0.35,0.5,0.4,0.5,0.7368421052631579,0,0.41000000000000003,0.4736842105263158,0.39765789473684215,0.75,0.052631578947368425,5.3%
PEP,204060966912,Consumer Defensive,28.336502,17.271147,0.423,149.05,0.37162,0.54269004,260.19,0.45,0.15,0.45,0.6,0.8947368421052632,0,0.33,0.5544736842105262,0.3980131578947368,0.7,0.052631578947368425,5.3%
PG,343466213376,Consumer Defensive,21.423357,19.777628,0.381,146.73,0.31902,0.51278996,67.125,0.25,0.25,0.65,0.65,0.5789473684210527,0,0.25,0.6428947368421052,0.40180263157894736,0.65,0.052631578947368425,5.3%
JPM,829284483072,Financial Services,14.944747,18.015831,1.076,301.585,0.16437,0.0,,0.05,0.2,0.85,1.0,0.0,0,0.11000000000000001,0.825,0.42074999999999996,0.6,0.052631578947368425,5.3%
UNH,282331774976,Healthcare,16.233332,10.42408,0.429,311.68,0.17476,0.19701,75.734,0.15,0.05,0.8,0.9,0.6842105263157895,0,0.11,0.828421052631579,0.42228947368421055,0.55,0.052631578947368425,5.3%
CSCO,305107763200,Technology,29.799229,19.789743,0.869,77.18,0.22418,0.64828,59.926,0.55,0.3,0.75,0.45,0.5263157894736842,0,0.45,0.6076315789473685,0.47593421052631585,0.5,0.045112781954887216,4.5%
GOOGL,3474362204160,Communication Services,28.344862,32.01451,1.082,286.85,0.3545,0.59172,11.424,0.5,0.7,0.5,0.55,0.10526315789473684,0,0.58,0.4805263157894737,0.4772368421052632,0.45,0.052631578947368425,5.3%
BRK-B,1089065779200,Financial Services,16.15424,25.140438,0.709,504.82,0.1017,0.24361,18.166,0.1,0.55,0.95,0.85,0.21052631578947367,0,0.28,0.8360526315789473,0.5022236842105263,0.4,0.052631578947368425,5.3%
ORCL,635570028544,Technology,51.72738,31.137571,1.636,222.96,0.69241995,0.69662005,452.534,0.9,0.65,0.25,0.35,0.9473684210526315,0,0.8,0.3597368421052632,0.5218815789473685,0.35,0.045112781954887216,4.5%
CRM,222509006848,Technology,33.879185,20.91195,1.243,232.75,0.11201999,0.77649003,19.255,0.75,0.35,0.9,0.25,0.2631578947368421,0,0.59,0.5763157894736842,0.524842105263158,0.3,0.045112781954887216,4.5%
NVDA,4477311516672,Technology,52.304844,44.56068,2.269,183.59,1.09417,0.69847,10.584,0.95,0.95,0.2,0.3,0.05263157894736842,0,0.95,0.22526315789473683,0.5288684210526315,0.25,0.045112781954887216,4.5%
AAPL,3982418771968,Technology,35.97185,32.29242,1.109,268.35,1.7142199,0.46905,152.411,0.85,0.8,0.15,0.75,0.7894736842105263,0,0.8300000000000001,0.4539473684210527,0.5777763157894737,0.2,0.045112781954887216,4.5%
MSFT,3657935355904,Technology,35.00071,32.917057,1.065,492.11,0.32241002,0.68764,33.154,0.8,0.85,0.6,0.4,0.3684210526315789,0,0.8200000000000001,0.4968421052631579,0.5925789473684211,0.15,0.045112781954887216,4.5%
AMZN,2393325699072,Consumer Cyclical,31.62147,36.40325,1.368,223.88,0.24327,0.50046,43.405,0.65,0.9,0.7,0.7,0.42105263157894735,0,0.75,0.6721052631578947,0.6399473684210526,0.1,0.052631578947368425,5.3%
TSLA,1346557706240,Consumer Cyclical,283.13287,124.96297,1.872,404.88,0.06791,0.17006999,17.082,1.0,1.0,1.0,0.95,0.15789473684210525,0,1.0,0.8957894736842106,0.8531052631578948,0.05,0.052631578947368425,5.3%
